Date,Open,High,Low,Close,Adj Close,Volume
2009-01-01,1.449695,1.480253,1.449695,1.474100,1.474100,0
2009-01-02,1.472190,1.476494,1.441296,1.452391,1.452391,0
2009-01-05,1.451927,1.473861,1.444002,1.471605,1.471605,0
2009-01-06,1.470999,1.498981,1.451463,1.491202,1.491202,0
2009-01-07,1.491291,1.525506,1.481964,1.507909,1.507909,0
2009-01-08,1.507295,1.536004,1.499880,1.522696,1.522696,0
2009-01-09,1.522905,1.534590,1.513294,1.517911,1.517911,0
2009-01-12,1.509502,1.511556,1.480604,1.481899,1.481899,0
2009-01-13,1.482096,1.482096,1.448016,1.451695,1.451695,0
2009-01-14,1.452306,1.469529,1.449906,1.462095,1.462095,0
2009-01-15,1.460984,1.468192,1.449296,1.467201,1.467201,0
2009-01-16,1.467308,1.497589,1.466319,1.473405,1.473405,0
2009-01-19,1.488405,1.490868,1.436844,1.442544,1.442544,0
2009-01-20,1.442564,1.442793,1.384907,1.387752,1.387752,0
2009-01-21,1.387867,1.401994,1.363903,1.387598,1.387598,0
2009-01-22,1.387655,1.396707,1.371009,1.388041,1.388041,0
2009-01-23,1.387809,1.388098,1.352997,1.378303,1.378303,0
2009-01-26,1.363196,1.404573,1.355473,1.397097,1.397097,0
2009-01-27,1.398406,1.423508,1.393709,1.418641,1.418641,0
2009-01-28,1.418722,1.435400,1.413108,1.422981,1.422981,0
2009-01-29,1.422576,1.438497,1.407598,1.427898,1.427898,0
2009-01-30,1.428306,1.456304,1.419507,1.456304,1.456304,0
2009-02-02,1.438952,1.442793,1.405995,1.421202,1.421202,0
2009-02-03,1.421040,1.447702,1.417394,1.443710,1.443710,0
2009-02-04,1.443501,1.456452,1.434597,1.445902,1.445902,0
2009-02-05,1.446048,1.470350,1.437897,1.463208,1.463208,0
2009-02-06,1.462994,1.483724,1.459705,1.477498,1.477498,0
2009-02-09,1.481503,1.497096,1.470805,1.485553,1.485553,0
2009-02-10,1.485796,1.488804,1.446592,1.455880,1.455880,0
2009-02-11,1.455795,1.456198,1.432193,1.435008,1.435008,0
2009-02-12,1.435400,1.441005,1.414907,1.429102,1.429102,0
2009-02-13,1.429204,1.459300,1.428592,1.435998,1.435998,0
2009-02-16,1.423690,1.431557,1.416210,1.429817,1.429817,0
2009-02-17,1.429695,1.430390,1.413108,1.423994,1.423994,0
2009-02-18,1.425009,1.429695,1.410955,1.425090,1.425090,0
2009-02-19,1.425090,1.444294,1.424501,1.426696,1.426696,0
2009-02-20,1.426595,1.445693,1.416330,1.443897,1.443897,0
2009-02-23,1.437505,1.465695,1.436906,1.447094,1.447094,0
2009-02-24,1.445734,1.457726,1.438207,1.452855,1.452855,0
2009-02-25,1.452201,1.459897,1.418399,1.422091,1.422091,0
2009-02-26,1.421504,1.438042,1.416993,1.429797,1.429797,0
2009-02-27,1.430063,1.435400,1.411951,1.427205,1.427205,0
2009-03-02,1.422900,1.428633,1.396999,1.403509,1.403509,0
2009-03-03,1.404199,1.415308,1.399894,1.402800,1.402800,0
2009-03-04,1.402997,1.420091,1.399404,1.417776,1.417776,0
2009-03-05,1.416591,1.422799,1.404790,1.413108,1.413108,0
2009-03-06,1.412908,1.428408,1.405007,1.407004,1.407004,0
2009-03-09,1.416471,1.417816,1.375705,1.379405,1.379405,0
2009-03-10,1.379405,1.389796,1.370201,1.379196,1.379196,0
2009-03-11,1.379101,1.388927,1.366512,1.384198,1.384198,0
2009-03-12,1.384600,1.397097,1.371498,1.393107,1.393107,0
2009-03-13,1.392215,1.405501,1.386943,1.400697,1.400697,0
2009-03-16,1.396492,1.422819,1.395109,1.407598,1.407598,0
2009-03-17,1.406391,1.413807,1.397097,1.405402,1.405402,0
2009-03-18,1.405896,1.432993,1.387097,1.428408,1.428408,0
2009-03-19,1.427491,1.459194,1.417997,1.449591,1.449591,0
2009-03-20,1.449738,1.458279,1.440092,1.442710,1.442710,0
2009-03-23,1.447807,1.463700,1.445797,1.457195,1.457195,0
2009-03-24,1.456198,1.477148,1.456198,1.470005,1.470005,0
2009-03-25,1.470675,1.471497,1.451800,1.455096,1.455096,0
2009-03-26,1.455202,1.463465,1.443106,1.446508,1.446508,0
2009-03-27,1.446697,1.449506,1.427796,1.432501,1.432501,0
2009-03-30,1.428510,1.429368,1.412090,1.424704,1.424704,0
2009-03-31,1.425009,1.437401,1.424664,1.434494,1.434494,0
2009-04-01,1.434597,1.447618,1.428000,1.446090,1.446090,0
2009-04-02,1.446885,1.474796,1.446090,1.473492,1.473492,0
2009-04-03,1.473079,1.484693,1.465502,1.483305,1.483305,0
2009-04-06,1.488804,1.494992,1.467890,1.474100,1.474100,0
2009-04-07,1.473904,1.477410,1.460046,1.474100,1.474100,0
2009-04-08,1.474100,1.474513,1.464107,1.469508,1.469508,0
2009-04-09,1.469508,1.476909,1.460387,1.467502,1.467502,0
2009-04-10,1.467394,1.468493,1.462309,1.465996,1.465996,0
2009-04-13,1.465996,1.486900,1.461091,1.484935,1.484935,0
2009-04-14,1.485509,1.494411,1.482909,1.490491,1.490491,0
2009-04-15,1.491091,1.502901,1.483305,1.500015,1.500015,0
2009-04-16,1.499992,1.506478,1.485002,1.491892,1.491892,0
2009-04-17,1.492248,1.494098,1.476494,1.479991,1.479991,0
2009-04-20,1.481503,1.481503,1.450810,1.454313,1.454313,0
2009-04-21,1.454292,1.470675,1.448310,1.466491,1.466491,0
2009-04-22,1.466147,1.468407,1.442044,1.448897,1.448897,0
2009-04-23,1.448624,1.473991,1.445108,1.471692,1.471692,0
2009-04-24,1.471605,1.476690,1.458810,1.471497,1.471497,0
2009-04-27,1.465695,1.469205,1.451990,1.461497,1.461497,0
2009-04-28,1.462224,1.468709,1.452496,1.462865,1.462865,0
2009-04-29,1.462865,1.480604,1.462394,1.476734,1.476734,0
2009-04-30,1.476843,1.494098,1.472754,1.478809,1.478809,0
2009-05-01,1.479202,1.493094,1.475906,1.491091,1.491091,0
2009-05-04,1.494009,1.504891,1.484340,1.503511,1.503511,0
2009-05-05,1.502901,1.516024,1.498801,1.507091,1.507091,0
2009-05-06,1.507182,1.515404,1.499520,1.515014,1.515014,0
2009-05-07,1.514991,1.518880,1.494813,1.503398,1.503398,0
2009-05-08,1.503692,1.524995,1.497208,1.524297,1.524297,0
2009-05-11,1.520219,1.524599,1.507318,1.513707,1.513707,0
2009-05-12,1.513752,1.535108,1.508091,1.527044,1.527044,0
2009-05-13,1.526997,1.533107,1.509593,1.515289,1.515289,0
2009-05-14,1.515197,1.524809,1.506796,1.522951,1.522951,0
2009-05-15,1.523415,1.528701,1.513592,1.516093,1.516093,0
2009-05-18,1.516806,1.534990,1.512516,1.534378,1.534378,0
2009-05-19,1.534590,1.552506,1.530011,1.548395,1.548395,0
2009-05-20,1.548107,1.579554,1.545499,1.575399,1.575399,0
2009-05-21,1.575200,1.588992,1.552795,1.585088,1.585088,0
2009-05-22,1.585062,1.594311,1.575945,1.592002,1.592002,0
2009-05-25,1.592712,1.593295,1.583983,1.591090,1.591090,0
2009-05-26,1.590457,1.597010,1.578283,1.593702,1.593702,0
2009-05-27,1.593981,1.608493,1.593092,1.596093,1.596093,0
2009-05-28,1.596271,1.600794,1.586269,1.593372,1.593372,0
2009-05-29,1.593498,1.619591,1.592382,1.618699,1.618699,0
2009-06-01,1.617887,1.649593,1.616893,1.644710,1.644710,0
2009-06-02,1.644791,1.659834,1.633106,1.657907,1.657907,0
2009-06-03,1.657578,1.666167,1.624907,1.631295,1.631295,0
2009-06-04,1.631508,1.642899,1.608959,1.611266,1.611266,0
2009-06-05,1.611448,1.623192,1.594489,1.599591,1.599591,0
2009-06-08,1.594998,1.609813,1.580578,1.603824,1.603824,0
2009-06-09,1.604107,1.636206,1.599002,1.631108,1.631108,0
2009-06-10,1.630843,1.646633,1.624590,1.635403,1.635403,0
2009-06-11,1.635911,1.662151,1.634494,1.658402,1.658402,0
